ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
060220251000591Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1177;1738832458425;1738832459602;1
060220251001211Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;4975;1738832476572;1738832481547;1
060220251002491Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;33682;1738832535924;1738832569606;1
060220251005081Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2495;1738832705576;1738832708071;1
060220251005141Ouverture compte 511;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2160;1738832712175;1738832714335;1
060220251008112Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;143;1738832891233;1738832891376;1
060220251008302Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2180;1738832907982;1738832910162;1
060220251009452Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20270;1738832964820;1738832985090;1
060220251012012Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2150;1738833119603;1738833121753;1
060220251012082Ouverture compte 511;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2159;1738833125863;1738833128022;1
060220251015083Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;157;1738833308182;1738833308339;1
060220251015273Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2855;1738833324585;1738833327440;1
060220251016453Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;24298;1738833380988;1738833405286;1
060220251019023Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2155;1738833540250;1738833542405;1
060220251019083Ouverture compte 511;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2164;1738833546523;1738833548687;1
060220251022114Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;142;1738833731703;1738833731845;1
060220251022294Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;1883;1738833748102;1738833749985;1
060220251023454Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20585;1738833805035;1738833825620;1
060220251026024Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2149;1738833960825;1738833962974;1
060220251026094Ouverture compte 511;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;2168;1738833967092;1738833969260;1
060220251029035Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;142;1738834143369;1738834143511;1
060220251029225Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;5;Virement 100 Mouvements;2173;1738834160368;1738834162541;1
060220251030365Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;5;Virement 900 Mouvements;20614;1738834216243;1738834236857;1
060220251032535Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.035;N/A;VM IQS CO;06/02/2025 09:58:24;Consultation Grand Livre et Virements;30409;5;Ouverture compte 2011;2184;1738834371455;1738834373639;1
